LATITUDE,LONGITUDE,UTM_X,UTM_Y,UTM_ZONE,DATE,TIME,SATELLITE,CONFIDENCE,ORG,TUMBOON,AUMPER,PROVINCE,NAME,ZONE 
14.05128,102.73535,255436,1554572,48P,17/02/2019,1312,S,1,NASA,ทัพราช,ตาพระยา,สระแก้ว,เกษตรกรรม,AGI
14.05191,102.73924,255857,1554637,48P,17/02/2019,1312,S,1,NASA,ทัพราช,ตาพระยา,สระแก้ว,เกษตรกรรม,AGI
14.05536,102.73866,255798,1555020,48P,17/02/2019,1312,S,1,NASA,ทัพราช,ตาพระยา,สระแก้ว,เกษตรกรรม,AGI
14.40034,103.08167,293168,1592864,48P,17/02/2019,1312,S,1,NASA,ปราสาท,บ้านกรวด,บุรีรัมย์,เกษตรกรรม,AGI
14.48914,102.22373,200730,1603639,48P,17/02/2019,1312,S,1,NASA,บ้านใหม่,ครบุรี,นครราชสีมา,เกษตรกรรม,AGI
14.49026,102.68214,250172,1603213,48P,17/02/2019,1312,S,1,NASA,ไทยเจริญ,ปะคำ,บุรีรัมย์,เกษตรกรรม,AGI
14.49487,103.85339,376439,1602767,48P,17/02/2019,1312,S,1,NASA,เทพรักษา,สังขะ,สุรินทร์,เกษตรกรรม,AGI
14.50328,103.55671,344469,1603878,48P,17/02/2019,1312,S,1,NASA,กาบเชิง,กาบเชิง,สุรินทร์,เกษตรกรรม,AGI
14.56585,102.78441,261281,1611469,48P,17/02/2019,1312,S,1,NASA,สะเดา,นางรอง,บุรีรัมย์,เกษตรกรรม,AGI
14.62753,102.88409,272089,1618193,48P,17/02/2019,1312,S,1,NASA,อีสานเขต,เฉลิมพระเกียรติ,บุรีรัมย์,เกษตรกรรม,AGI
14.63209,102.4817,228730,1619141,48P,17/02/2019,1312,S,1,NASA,หนองบุนนาก,หนองบุญมาก,นครราชสีมา,เกษตรกรรม,AGI
14.65896,103.72964,363203,1620990,48P,17/02/2019,1312,S,1,NASA,อู่โลก,ลำดวน,สุรินทร์,เกษตรกรรม,AGI
14.66344,103.73637,363931,1621481,48P,17/02/2019,1312,S,1,NASA,สะกาด,สังขะ,สุรินทร์,เกษตรกรรม,AGI
14.66622,103.73219,363482,1621791,48P,17/02/2019,1312,S,1,NASA,อู่โลก,ลำดวน,สุรินทร์,เกษตรกรรม,AGI
14.79669,102.49819,230709,1637341,48P,17/02/2019,1312,S,1,NASA,โคกสว่าง,หนองกี่,บุรีรัมย์,เกษตรกรรม,AGI
14.83773,103.94804,386816,1640644,48P,17/02/2019,1312,S,1,NASA,กู่,ปรางค์กู่,ศรีสะเกษ,เกษตรกรรม,AGI
15.61407,99.65869,570609,1726356,47P,17/02/2019,1312,S,1,NASA,บ่อยาง,สว่างอารมณ์,อุทัยธานี,เกษตรกรรม,AGI
15.61647,99.66092,570848,1726622,47P,17/02/2019,1312,S,1,NASA,บ่อยาง,สว่างอารมณ์,อุทัยธานี,เกษตรกรรม,AGI
15.61802,99.65792,570525,1726793,47P,17/02/2019,1312,S,1,NASA,บ่อยาง,สว่างอารมณ์,อุทัยธานี,เกษตรกรรม,AGI
15.91737,99.62798,567217,1759896,47P,17/02/2019,1312,S,1,NASA,บ่อถ้ำ,ขาณุวรลักษบุรี,กำแพงเพชร,เกษตรกรรม,AGI
16.4169,99.35902,538332,1815085,47Q,17/02/2019,1312,S,1,NASA,นาบ่อคำ,เมืองกำแพงเพชร,กำแพงเพชร,เกษตรกรรม,AGI
16.46847,98.66708,464464,1820785,47Q,17/02/2019,1312,S,1,NASA,ช่องแคบ,พบพระ,ตาก,เกษตรกรรม,AGI
16.58254,99.71181,575935,1833509,47Q,17/02/2019,1312,S,1,NASA,เขาคีริส,พรานกระต่าย,กำแพงเพชร,เกษตรกรรม,AGI
16.60672,99.01812,501933,1836049,47Q,17/02/2019,1312,S,1,NASA,แม่ท้อ,เมืองตาก,ตาก,เกษตรกรรม,AGI
16.61346,99.00916,500977,1836795,47Q,17/02/2019,1312,S,1,NASA,แม่ท้อ,เมืองตาก,ตาก,เกษตรกรรม,AGI
16.99331,99.55576,559160,1878899,47Q,17/02/2019,1312,S,1,NASA,ลานหอย,บ้านด่านลานหอย,สุโขทัย,เกษตรกรรม,AGI
17.1427,99.14687,515621,1895347,47Q,17/02/2019,1312,S,1,NASA,แม่สลิด,บ้านตาก,ตาก,เกษตรกรรม,AGI
17.2678,99.09261,509844,1909183,47Q,17/02/2019,1312,S,1,NASA,วังจันทร์,สามเงา,ตาก,เกษตรกรรม,AGI
14.88017,100.8268,696533,1645877,47P,17/02/2019,1312,S,1,NASA,โคกตูม,เมืองลพบุรี,ลพบุรี,เกษตรกรรม,AGI
15.02874,100.90601,704916,1662389,47P,17/02/2019,1312,S,1,NASA,วังเพลิง,โคกสำโรง,ลพบุรี,เกษตรกรรม,AGI
15.16103,100.68106,680613,1676830,47P,17/02/2019,1312,S,1,NASA,ชอนสารเดช,หนองม่วง,ลพบุรี,เกษตรกรรม,AGI
15.17823,100.48723,659771,1678582,47P,17/02/2019,1312,S,1,NASA,ลาดทิพรส,ตาคลี,นครสวรรค์,เกษตรกรรม,AGI
15.2211,100.76141,689195,1683545,47P,17/02/2019,1312,S,1,NASA,ยางโทน,หนองม่วง,ลพบุรี,เกษตรกรรม,AGI
15.22189,100.76604,689691,1683636,47P,17/02/2019,1312,S,1,NASA,สระโบสถ์,สระโบสถ์,ลพบุรี,เกษตรกรรม,AGI
15.22483,100.76076,689121,1683957,47P,17/02/2019,1312,S,1,NASA,สระโบสถ์,สระโบสถ์,ลพบุรี,เกษตรกรรม,AGI
